Year,Name,GP,SH,PTS
2023,Maggie Newton,15,91,57
2023,Victoria Gottorff,17,66,39
2023,Whitley Easton,18,60,36
2023,Gabby McGinn,12,29,26
2023,Meghan Nasman,18,52,25
2023,Amanda Bailey,18,39,19
2023,Megan Millard,18,35,17
2023,Rachel Plumley,16,12,14
2023,Marlee Antinora,18,23,10
2023,Ellie Schau,16,18,7
2023,Kiera Boettcher,18,19,5
2023,Beca McGwin,15,1,3
2023,Paige Drazek,8,8,2
2023,Sarah Kaska,8,3,2
2023,Alex Finocchario,7,3,2
2023,Emma Cimino,5,7,1
2023,Nicole Hetzer,2,1,1
2023,Maggie Sheehan,7,5,1
2023,Brenna Smith,8,1,1
2023,Stephanie VanRiper,12,1,1
2023,Allison Lyon,18,1,1
2023,Grace Validzic,6,3,1
2023,Kiana Francis,18,1,0
2023,Paige Maneri,17,1,0
2023,Katie Napier,3,1,0
2023,Caitlin Sacco,3,1,0
2023,Emma Shipton,3,1,0
2024,Whitley Easton,16,116,73
2024,Emma Cimino,16,69,33
2024,Marlee Antinora,16,37,28
2024,Hannah Young,14,38,25
2024,Gabby McGinn,16,29,23
2024,Amanda Bailey,16,55,20
2024,Ellie Schau,15,37,19
2024,Maggie Sheehan,14,11,8
2024,Brynn Hall,15,8,8
2024,Meghan Nasman,5,17,7
2024,Alex Finocchario,9,8,7
2024,Carly Grey,9,6,5
2024,Brenna Smith,16,5,3
2024,Maria Salvo,8,1,2
2024,Cameron Callander,15,1,1
2024,Kate Marafioti,8,1,1
2024,Hadley Warren,8,3,1
2024,Alexza Zalla,7,4,1
2024,Paige Drazek,10,4,1
2024,Sophie Massaro,7,1,1
2024,Katie Ehrenberger,7,1,0
2024,Katie Napier,13,2,0
2024,Grace Validzic,8,1,0
2024,Stephanie VanRiper,16,1,0
2025,Whitley Easton,15,119,89
2025,Emma Cimino,15,75,35
2025,Meghan Nasman,15,42,27
2025,Amanda Bailey,15,44,24
2025,Hannah Young,15,22,23
2025,Marlee Antinora,15,29,17
2025,Ellie Schau,13,37,13
2025,Maggie Sheehan,15,11,11
2025,Brynn Hall,15,10,6
2025,Camryn Trybuskiewicz,8,6,6
2025,Nicole Hetzer,4,3,4
2025,Paige Drazek,4,3,3
2025,Keira Mangels,6,6,1
2025,Katie Gleason,14,4,1
2025,Katie Napier,11,1,0